Starting Crane Layout Optimization - FINAL SCENARIO (GA)
Running Genetic Algorithm...
Generation 138/200, Best Fitness: 1000000000.00
Generation 139/200, Best Fitness: 1000000000.00
Generation 140/200, Best Fitness: 1000000000.00
Generation 141/200, Best Fitness: 1000000000.00
Generation 142/200, Best Fitness: 1000000000.00
Generation 143/200, Best Fitness: 1000000000.00
Generation 144/200, Best Fitness: 1000000000.00
Generation 145/200, Best Fitness: 1000000000.00
Generation 146/200, Best Fitness: 1000000000.00
Generation 147/200, Best Fitness: 1000000000.00
Generation 148/200, Best Fitness: 1000000000.00
Generation 149/200, Best Fitness: 1000000000.00
Generation 150/200, Best Fitness: 1000000000.00
Generation 151/200, Best Fitness: 1000000000.00
Generation 152/200, Best Fitness: 1000000000.00
Generation 153/200, Best Fitness: 1000000000.00
Generation 154/200, Best Fitness: 1000000000.00
Generation 155/200, Best Fitness: 1000000000.00
Generation 156/200, Best Fitness: 1000000000.00
Generation 157/200, Best Fitness: 1000000000.00
Generation 158/200, Best Fitness: 1000000000.00
Generation 159/200, Best Fitness: 1000000000.00
Generation 160/200, Best Fitness: 1000000000.00
Generation 161/200, Best Fitness: 1000000000.00
Generation 162/200, Best Fitness: 1000000000.00
Generation 163/200, Best Fitness: 1000000000.00
Generation 164/200, Best Fitness: 1000000000.00
Generation 165/200, Best Fitness: 1000000000.00
Generation 166/200, Best Fitness: 1000000000.00
Generation 167/200, Best Fitness: 1000000000.00
Generation 168/200, Best Fitness: 1000000000.00
Generation 169/200, Best Fitness: 1000000000.00
Generation 170/200, Best Fitness: 1000000000.00
Generation 171/200, Best Fitness: 1000000000.00
Generation 172/200, Best Fitness: 1000000000.00
Generation 173/200, Best Fitness: 1000000000.00
Generation 174/200, Best Fitness: 1000000000.00
Generation 175/200, Best Fitness: 1000000000.00
Generation 176/200, Best Fitness: 1000000000.00
Generation 177/200, Best Fitness: 1000000000.00
Generation 178/200, Best Fitness: 1000000000.00
Generation 179/200, Best Fitness: 1000000000.00
Generation 180/200, Best Fitness: 1000000000.00
Generation 181/200, Best Fitness: 1000000000.00
Generation 182/200, Best Fitness: 1000000000.00
Generation 183/200, Best Fitness: 1000000000.00
Generation 184/200, Best Fitness: 1000000000.00
Generation 185/200, Best Fitness: 1000000000.00
Generation 186/200, Best Fitness: 1000000000.00
Generation 187/200, Best Fitness: 1000000000.00
Generation 188/200, Best Fitness: 1000000000.00
Generation 189/200, Best Fitness: 1000000000.00
Generation 190/200, Best Fitness: 1000000000.00
Generation 191/200, Best Fitness: 1000000000.00
Generation 192/200, Best Fitness: 1000000000.00
Generation 193/200, Best Fitness: 1000000000.00
Generation 194/200, Best Fitness: 1000000000.00
Generation 195/200, Best Fitness: 1000000000.00
Generation 196/200, Best Fitness: 1000000000.00
Generation 197/200, Best Fitness: 1000000000.00
Generation 198/200, Best Fitness: 1000000000.00
Generation 199/200, Best Fitness: 1000000000.00
Generation 200/200, Best Fitness: 1000000000.00
=============================================
OPTIMIZATION FINISHED
=============================================
Algorithm: Genetic Algorithm (GA)
Total Execution Time: 0.53 seconds
Best Objective Function Value (Total Time): 1000000000.00 seconds
Optimal Crane Positions (x, y) for 8 cranes:
  Crane 1: (139.94, 60.77)
  Crane 2: (71.96, 72.33)
  Crane 3: (191.30, 26.82)
  Crane 4: (249.26, 55.88)
  Crane 5: (92.11, 22.16)
  Crane 6: (93.10, 6.90)
  Crane 7: (21.88, 49.16)
  Crane 8: (4.07, 2.37)
=============================================
Program Ended.
>> 
